,ID,LOC_ID,TR_N,PROJECT,SAMPLING_DATE,DEPTH,PH,SCARBON,SCEC,SNH4,SNO3,SLNI,SLON,SBDM,SRD,SPOR,WCF,GWCST,GWCFC,GWC1B,GWCWP,WCST,WCFC,WC1B,WCWP,SMACROP,SMESOP,SMICROP,SAND,SILT,CLAY,STC,DEPTH_range,SSKS,WCAD
57,YOCSS2MADRI,YOCS,S2,MADRI,02/06/2014,20,5.13,6.8,12.1,32.063,2.742,1210,1175.195,1.444226,2.623782,44.95852,22.10555,32.47697,28.11744,24.57938,23.16165,46.89365,40.60789,35.51109,33.44061,4.350626,7.167278,33.44061,8.372787,49.48024,42.14697,SiCl,40_60,5.74087024,7.097090802
58,YOCSS1MADRII,YOCS,S1,MADRII,06/05/2015,20,4.35,57.168,6.87,5.993,14.131,1666.93,1646.806,1.413765331,2.554807781,44.66255577,22.58843039,33.94779313,26.81561764,21.23513822,18.55816639,47.99421299,37.91099056,30.02150221,26.23689225,6.75156521,11.6740983,26.23689225,30.28992879,30.97660224,38.73346897,ClLo,0_20,7.654925662,13.6150948
59,YOCSS1MADRII,YOCS,S1,MADRII,06/05/2015,20,4.4,30.327,4.63,4.968,13.259,749.007,730.78,1.718292706,2.631023838,34.69110079,18.47529593,22.44724653,18.6875965,16.70226454,14.99227998,38.57093999,32.11076077,28.69937934,25.76112534,2.580340026,6.349635426,25.76112534,30.31828351,28.42180191,41.25991458,Cl,20_40,6.836748547,10.14716504
60,YOCSS1MADRII,YOCS,S1,MADRII,06/05/2015,20,4.86,27.376,4.49,3.726,3.823,1457.68,1450.131,1.661715602,2.636231357,36.96624547,21.57901521,25.36736272,21.65893271,19.17504511,17.67465842,42.15334243,35.99098642,31.86347164,29.37025566,0.975259045,6.620730764,29.37025566,31.11304526,27.33975015,41.54720459,Cl,40_60,6.470630424,12.08382221
61,YOCSS2MADRII,YOCS,S2,MADRII,05/01/2015,20,4.13,50.56,6.48,4.364,21.834,1291.23,1265.032,1.228084415,2.559098294,52.01104944,17.29229413,44.8541835,26.87320943,19.78807023,17.33269669,55.08472371,33.00256969,24.30142065,21.28601467,19.00847976,11.71655501,21.28601467,30.43147208,30.91370558,38.65482234,ClLo,0_20,20.21684782,13.66765571
62,YOCSS2MADRII,YOCS,S2,MADRII,05/01/2015,20,4.44,23.819,4.62,3.624,10.15,553.886,540.112,1.665849853,2.660032131,37.37482216,17.1424147,23.33273112,17.58504104,14.89315026,13.25943323,38.8688267,29.29403802,24.80975217,22.0882249,8.080784139,7.205813125,22.0882249,30.34661517,28.41024598,41.24313885,Cl,20_40,9.889846939,9.551321781
63,YOCSS2MADRII,YOCS,S2,MADRII,05/01/2015,20,4.47,25.075,4.26,4.242,8.342,866.977,854.393,1.715757052,2.645316332,35.13981554,18.52749168,21.83699531,18.1670625,15.76579265,14.35988018,37.4669787,31.17026561,27.05026992,24.63806568,3.969549935,6.532199927,24.63806568,32.77845653,27.18387294,40.03767054,Cl,40_60,7.881532702,10.17477084
64,YOCSS1MADRI,YOCS,S1,MADRI,05/10/2013,20,4.52,16.4855,6.4,9.168,4.924,1020.472,1006.38,1.414603786,2.586920939,45.20017907,35.63966256,40.95805502,32.2898817,28.08593388,19.43143487,56.58975771,44.36828762,38.27940083,26.31882261,0.83189145,18.04946501,26.31882261,53.02403069,15.39781906,31.57815024,SaClLo,0_20,18.61450556,23.33585201
65,YOCSS1MADRI,YOCS,S1,MADRI,05/10/2013,20,4.75,9.0246,5.4,4.939,5.4,509.88,499.541,1.62786412,2.670243535,39.0330901,27.005149,46.52057079,21.83561898,16.87361008,10.42438844,75.2975504,35.3428299,27.31139115,16.87277048,3.353653862,18.47005942,16.87277048,52.99555466,15.40715296,31.59729238,SaClLo,20_40,16.11835629,15.77713241
66,YOCSS1MADRI,YOCS,S1,MADRI,05/10/2013,20,5.05,6.9176,4.8,7.877,0.46,508.553,500.216,1.601911797,2.618872852,38.83198354,33.40886334,45.90958507,23.96946911,18.47934408,13.44672948,73.09832414,38.16475404,29.42324749,21.41019982,1.042027082,16.75455421,21.41019982,50.48980004,16.66330034,32.84689962,SaClLo,40_60,14.58504701,16.90369375
